species	genus	family	order	class	phylum	superkingdom	LIB-B-pool1_barcode52	LIB-B-pool1_barcode78	LIB-B-pool1_barcode39	LIB-B-pool1_barcode71	LIB-B-pool1_barcode61	LIB-B-pool1_barcode51	LIB-B-pool1_barcode77	LIB-B-pool1_barcode49	LIB-B-pool1_barcode63	LIB-B-pool1_barcode92	LIB-B-pool1_barcode34	LIB-B-pool2_barcode14	LIB-B-pool1_barcode02	LIB-B-pool1_barcode83	LIB-B-pool1_barcode26	LIB-B-pool1_barcode23	LIB-B-pool2_barcode18	LIB-B-pool2_barcode12	LIB-B-pool1_barcode91	LIB-B-pool2_barcode05	LIB-B-pool1_barcode60	LIB-B-pool1_barcode50	LIB-B-pool1_barcode28	LIB-B-pool1_barcode73	LIB-B-pool1_barcode25	LIB-B-pool2_barcode13	LIB-B-pool2_barcode19	LIB-B-pool1_barcode90	LIB-B-pool1_barcode62	LIB-B-pool2_barcode10	LIB-B-pool1_barcode10	LIB-B-pool2_barcode09	LIB-B-pool2_barcode08	LIB-B-pool2_barcode25	LIB-B-pool2_barcode22	LIB-B-pool1_barcode46	LIB-B-pool1_barcode59	LIB-B-pool1_barcode37	LIB-B-pool2_barcode07	LIB-B-pool1_barcode33	LIB-B-pool2_barcode27	LIB-B-pool2_barcode04	LIB-B-pool1_barcode08	LIB-B-pool1_barcode70	LIB-B-pool1_barcode24	LIB-B-pool2_barcode06	LIB-B-pool2_barcode02	LIB-B-pool1_barcode66	LIB-B-pool1_barcode06	LIB-B-pool1_barcode09	LIB-B-pool1_barcode74	LIB-B-pool1_barcode89	LIB-B-pool1_barcode81	LIB-B-pool1_barcode38	LIB-B-pool1_barcode65	LIB-B-pool1_barcode17	LIB-B-pool1_barcode18	LIB-B-pool1_barcode13	LIB-B-pool1_barcode88	LIB-B-pool1_barcode20	LIB-B-pool1_barcode45	LIB-B-pool2_barcode15	LIB-B-pool1_barcode21	LIB-B-pool1_barcode75	LIB-B-pool1_barcode40	LIB-B-pool1_barcode55	LIB-B-pool1_barcode30	LIB-B-pool1_barcode03	LIB-B-pool1_barcode82	LIB-B-pool1_barcode67	LIB-B-pool1_barcode22	LIB-B-pool1_barcode53	LIB-B-pool1_barcode54	LIB-B-pool1_barcode11	LIB-B-pool1_barcode86	LIB-B-pool1_barcode32	LIB-B-pool1_barcode42	LIB-B-pool1_barcode14	LIB-B-pool1_barcode64	LIB-B-pool1_barcode12	LIB-B-pool1_barcode35	LIB-B-pool2_barcode23	LIB-B-pool2_barcode24	LIB-B-pool2_barcode01	LIB-B-pool1_barcode44	LIB-B-pool1_barcode31	LIB-B-pool1_barcode36	LIB-B-pool1_barcode04	LIB-B-pool1_barcode58	LIB-B-pool1_barcode05	LIB-B-pool1_barcode27	LIB-B-pool1_barcode07	LIB-B-pool1_barcode47	LIB-B-pool2_barcode16	LIB-B-pool1_barcode01	LIB-B-pool2_barcode11	LIB-B-pool1_barcode56	LIB-B-pool1_barcode87	LIB-B-pool1_barcode85	LIB-B-pool1_barcode57	LIB-B-pool1_barcode69	LIB-B-pool1_barcode84	LIB-B-pool1_barcode80	LIB-B-pool1_barcode68	LIB-B-pool1_barcode76	LIB-B-pool1_barcode79	LIB-B-pool2_barcode20	LIB-B-pool1_barcode15	LIB-B-pool1_barcode43	LIB-B-pool1_barcode19	LIB-B-pool1_barcode48	LIB-B-pool1_barcode29	LIB-B-pool2_barcode03	LIB-B-pool2_barcode21	LIB-B-pool1_barcode41	LIB-B-pool2_barcode17	LIB-B-pool1_barcode72
Acinetobacter sp. AU1523	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	0.0044784465166498																																																																																				0.0077946745697675																																
Acinetobacter sp. AcB	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																0.0024991735840525		0.0011805573192114					0.0005158584186095																																																																														
Acinetobacter sp. B-LS-R2A2	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																																					0.0058197176595383																																
Acinetobacter sp. B1(2015)	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0003755587152232																																																																														
Acinetobacter sp. BBI8	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0001408277686077																																																																														
Acinetobacter sp. BS8Y	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0004376620438686																																																											0.0031378485989811																			
Acinetobacter sp. C25	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																											0.039601190390184												0.0002205265885862																																																																														
Acinetobacter sp. CIP 101966	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																																		0.005637355632982																																			
Acinetobacter sp. CIP 51.11	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0002465800271856																																																									0.004061377863057																					
Acinetobacter sp. CJ-J-MA1	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																															0.0029394524098614																																																																						
Acinetobacter sp. CJ-S-R2A5	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																															0.0097634917442899																																																																						
Acinetobacter sp. CmLB16	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0001955688645277																																																																														
Acinetobacter sp. G3DM-29	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0003590973610833																			0.004060769041193																								0.0035472376625697	0.0007841194972812																																		
Acinetobacter sp. H15	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																	0.0045283664812058																																																																																																				
Acinetobacter sp. Hg4-05	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																										0.0007035134013881													0.0052761626398396																																				0.0061152911407628								0.0010091642232091													0.0026130264603185									0.0023835595554879												
Acinetobacter sp. IARI-JR-76	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																															0.0043069062101348																																						
Acinetobacter sp. JUN-14	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																					0.0099098047511916																																																
Acinetobacter sp. Ld3	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																			0.0014696076332346																																																																		
Acinetobacter sp. MR-1	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0008116107405613								0.0032048144384177																																																																						
Acinetobacter sp. NFM2	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																										0.0005712604566909																																																											
Acinetobacter sp. PL15a_S20	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																														0.0153404738566949				0.0004273652323888					0.0002042505601182																							0.0059233653089085																																0.0061652096395872																							
Acinetobacter sp. R4	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0006678460545588																																																																														
Acinetobacter sp. RBE2CD-76	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0001187442299043																																																																														
Acinetobacter sp. SG-3	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																	0.0034986490623257																						0.0002465090668025																			0.0016844309983891																																																											
Acinetobacter sp. SNT33	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																															0.0043069062101348																																						
Acinetobacter sp. STM18	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0002164081730701																							0.001402991460574																																													0.0014251595778729										
Acinetobacter sp. SW-2	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.00018784952195																																												0.0007412278590666																																		
Acinetobacter sp. SXF14	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																		0.0026025766410727																					0.0007272379966444																																																																														
Acinetobacter sp. TF1-35	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0001129168195797																																																																														
Acinetobacter sp. VKPM 2838	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																										0.002137644364626																																																											
Acinetobacter sp. VKPM 5064	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																										0.002137644364626																																																											
Acinetobacter sp. WW-by326	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0002106357601128																							0.0030260066098647																																													0.0021533784125047										
Acinetobacter sp. Y3	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																						0.000531091609754																																																																															
Acinetobacter sp. enrichment culture clone SA_R7_4	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0005460631312017																																																																														
Actinomyces ihuae	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria																																																																																																0.0129564193168433																					
Actinomyces massiliensis	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria															0.0037609694943585		0.0060975609756097					0.0147818343722172																																																																					0.0071743929359823																							0.0156494522691705			
Actinomyces naeslundii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria																																																														0.0024846432593717																																																							
Actinomyces oris	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria																																																														0.029773317776843																																																							
Actinomyces sp. A3	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria																						0.0036148447775949																																																																																															
Actinomyces sp. ICM47	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria																						0.0070317978331551																																																																																															
Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria																																								0.0030461927982347								0.0024390877200655											0.0003466743754673																																			0.013473141019404																							
Adlercreutzia mucosicola	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria																																																0.0038893841050731											0.0008928629352181																																			0.0057934628740364																							
Aerococcus sp. 4102	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																																																																																												0.0021725473657257									
Aerococcus sp. 4103	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																																																																																												0.0049549990834877									
Aerococcus sp. P3-2	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																																																																																												0.0036336352514457									
Aeromonas caviae	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria																										0.0011388012146102																																																																																											
Aeromonas enteropelogenes	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria																										0.0022617570846016																																																																																											
Aggregatibacter sp. HS19_2W_I12	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria																																						0.0005549747680076																																																																															
Agrobacterium rosae	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																					0.0125																
Agrobacterium sp. PDD-32b-65	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria						0.0141034251175285																																																																																																															
Alicycliphilus sp. R-24611	Alicycliphilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																										0.0006326432240993																																																																																											
Altererythrobacter sp. SWU3	Altererythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria																									0.0888382687927107																																																																																												
Anaerococcus octavius	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																								0.0048320998226191										0.0360702846296538																																0.0099231671268913																										0.0156626506024096									
Anaerococcus provencensis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																																																																																0.0014341065644727																					
Anaerococcus senegalensis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																																																																																												0.0216867469879518									
Anaerococcus sp. 9401487	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																																		0.0150441284461262																																														0.016466768616709																					
Anaerococcus sp. enrichment culture clone MRHull-Fe-11D	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																																																																																0.0011778563015312																					
Anaerococcus sp. gpac028	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																					0.0004109307581672																																																																																
Aneurinibacillus soli	Aneurinibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																																		0.0026131186147894																																																																			
Aneurinibacillus terranovensis	Aneurinibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																																		0.0030335205293654																																																																			
Aneurinibacillus thermoaerophilus	Aneurinibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																																		0.0163445159280289																																																																			
Anoxybacillus flavithermus	Anoxybacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																		0.0139600980525563																																																																																			
Anoxybacillus kaynarcensis	Anoxybacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																		0.0007470856648883																																																																																			
Antarctic bacterium L22						Bacteria																																																																																																											0.0014374642617229										
Arthrobacter davidanieli	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria																												0.0090293453724604																																																																																									
Bacillus sp. BJC16-B5	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria			0.0032249395323837																																																																																																						0.0064289888953828												
Bacillus sp. H3B7	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																		0.0007488207624583																																																																																			
Bacillus sp. Ult-356	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																															0.0058865666628524																																																																						
Bacillus sp. Ult-42	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																															0.0120777828497055																																										0.0136807817589576																												
Bacillus sp. WL-S20	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																		0.0035385405287939																																																																																			
Bacteroides sp. oral clone BU045	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																																																																																			0.0132749236691889																																		
Bacteroidetes bacterium RD4.3					Bacteroidetes	Bacteria																																																																											0.0355317595522024																																										
Belnapia moabensis	Belnapia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																		0.0136626379400945																			
Blastococcus aggregatus	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria																																																																																																						0.0072840790842872															
Blautia sp. canine oral taxon 143	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria																																																											0.0002127952680623																																																										
Blochmannia endosymbiont of Camponotus sp.	Candidatus Blochmannia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria																				0.0012345679012345																																																																																																	
Bosea sp. CRIB-13	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																										0.0014860075492324																																																																																											
Bosea thiooxidans	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																0.1400966183574879					
Brachybacterium muris	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria																																						0.0183170977061019		0.0017097218420337																																																																													
Brachybacterium sp. HC15	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria																																						0.3186465454134607		0.0346227755584188																																																																													
Bradyrhizobiaceae bacterium VP55		Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																										0.0328068459720222																											
Bradyrhizobium canariense	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria		0.0468178493050475																																																																0.0007786082932906																																																			
Bradyrhizobium centrosematis	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																												0.0049473545005097																									
Bradyrhizobium elkanii	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																	0.0124507544845803																																									0.0195500709677459																0.0231184787870276			0.0020379324596398	0.0037988312873858	0.0015917826622687	0.0046639486119242										0.1170622535389431			0.0005067991946768	0.0267111011603397																						0.0555025254956008	
Bradyrhizobium mercantei	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																										0.00277292810658					0.0015917826622687																																						
Bradyrhizobium sp. Lh10	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																										0.00597846422778																											
Bradyrhizobium sp. R-46211=t424	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																	0.0257363625324449																																									0.0200530898598521																																0.1558565071509113				0.0209993097958558																						0.0517074175553454	
Bradyrhizobium sp. SEMIA 6093	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																													0.0020379324596398		0.0015917826622687													0.0049473545005097																									
Bradyrhizobium sp. SEMIA 621	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																										0.0017709724540083					0.0015917826622687													0.0049473545005097																									
Bradyrhizobium sp. vgs-6	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																										0.0045977347787531																											
Bradyrhizobium viridifuturi	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																														0.0004403764109481	0.0015917826622687																																						
Brevibacterium paucivorans	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria																																																																																0.004929608740063																																					
Brevibacterium ravenspurgense	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria												0.0292125523696416																																																																				0.0081634273841538																																					
Brevibacterium sp. S56	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria																																																																																0.0005411069676692																																					
Brevundimonas nasdae	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																																																			0.0125492797656371															0.0005005339028296											0.0678001237053514				0.073717253362232																																				
Brevundimonas sp. 39	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																					0.06																																																
Brevundimonas sp. BNA-7	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																																																			0.004352352621117																										0.0030733215707983																																								
Brevundimonas sp. KAR46	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																		0.0787909092077021			
Brevundimonas sp. MH62	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																		0.0042150805311706			
Brevundimonas vesicularis	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria				0.0136166963589123																																															0.004352352621117																										0.022075272672568				0.082139961318512																																	0.0046309429684824			
